 			第七部
偌	去	Q:二十二祃	
偎	平	P:十灰	第三部
偏	平	P:一先	第七部
偓	入	R:三觉	
偕	平	P:九佳	第五部
做			第九部
停	平	P:九青	第十一部
偞	入	R:十六叶	
健	去	Q:十四愿	第七部
偯	上	S:五尾	
偲	平	P:四支,P:十灰	
偶	上	S:二十五有	第十二部
偷	平	P:十一尤	第十二部
偻	平上去	P:十一尤,S:七麌,Q:二十六宥	第四部,第十二部
偾	去	Q:十三问	
偿	平去	P:七阳,Q:二十三漾	第二部
傀	平上	P:十灰,S:四纸,S:十贿	第三部
傃	去	Q:七遇	
傅	去	Q:七遇	第四部
傍	平去	P:七阳,Q:二十三漾	第二部
傒	平	P:八齐	
傕	入	R:三觉	
傜	平	P:二萧	
傞	平	P:五歌	
傥	上去	S:二十二养,Q:二十三漾	
傧	平去	P:十一真,Q:十二震	
储	平	P:六鱼	第四部
傩	平上	P:五歌,S:二十哿	
催	平	P:十灰	第三部
傲	去	Q:二十号	第八部
傺	去	Q:八霁	
僄	平去	P:二萧,Q:十八啸	
僆	去	Q:十七霰	
僇	入	R:一屋	
僋	去	Q:二十八勘	
僎	平上去	P:十一真,S:十六铣,Q:十七霰	
像	上	S:二十二养	第二部
僖	平	P:四支	
僚	平上	P:二萧,S:十七筱	第八部
僛	平	P:四支	
僝	平上	P:十五删,S:十五潸	
僦	去	Q:二十六宥	第十二部
僧	平	P:十蒸	第十一部
僩	上	S:十五潸	
僬	去	Q:十八啸	
僭	去	Q:二十九艳	第十四部
僮	平	P:一东	第一部
僰	入	R:十三职	
僵	平	P:七阳	第二部
僸	去	Q:二十七沁	
僻	入	R:十一陌	第十七部
僽	去	Q:二十六宥	
僾	上去	S:十贿,Q:十一队	
僿	去	Q:四寘	
儃	平	P:一先	
儆	上去	S:二十三梗,Q:二十四敬	第十一部
儇	平	P:一先	第七部
儋	平	P:十三覃	
儒	平	P:七虞	第四部
儓	平	P:十灰	
儗	上去	S:四纸,Q:四寘,Q:十一队	
儡	平上	P:十灰,S:十贿	第三部
儢	上	S:六语	
儤	去	Q:十九效	
儦	平	P:二萧	
儭	去	Q:十二震	
儳	平去	P:十五咸,Q:三十陷	
儿	平入	P:四支,P:八齐,R:三觉	第三部
兀	入	R:六月	第十八部
允	上去	S:十一轸,Q:十二震	第六部
元	平	P:十三元	第七部
兄	平	P:八庚	第十一部
充	平	P:一东	第一部
兆	上	S:十七筱	第八部
先	去	Q:十七霰	第七部
光	平	P:七阳	第二部
克	入	R:十三职	第十七部
免	上	S:十六铣	第七部
兑	去	Q:九泰	第三部
兔	去	Q:七遇	第四部
兕	上	S:四纸	第三部
兖	上	S:十六铣	第七部
党	上	S:二十二养	第二部
兜	平	P:十一尤	第十二部
兟	平	P:十一真	
兢	平	P:十蒸	第十一部
入	入	R:十四缉	第十七部
全	平	P:一先	第七部
八	入	R:八黠	第十八部
公	平	P:一东	第一部
六	入	R:一屋	第十五部
兮	平	P:八齐	第三部
兰	平	P:十四寒	第七部
共	平去	P:二冬,Q:二宋	第一部
关	平	P:十五删	第七部
兴	平去	P:十蒸,Q:二十五径	第十一部
兵	平	P:八庚	第十一部
其	平去	P:四支,Q:四寘	第三部
具	去	Q:七遇	第四部
典	上	S:十六铣	第七部
兹	平	P:四支	第三部
养	上去	S:二十二养,Q:二十三漾	第二部
兼	平去	P:十四盐,Q:二十九艳	第十四部
兽	去	Q:二十六宥	第十二部
冀	去	Q:四寘	第三部
冁	上	S:十一轸	
内	去	Q:十一队	第三部
冈	平	P:七阳	第二部
冉	上	S:二十八琰	第十四部
册	入	R:十一陌	第十七部
再	去	Q:十一队	第五部
冏	上	S:二十三梗	
冒	去入	Q:二十号,R:十三职	第八部
冓	平去	P:十一尤,Q:二十六宥	
冔	上	S:七麌	
冕	上	S:十六铣	第七部
冗	上	S:二肿	第一部
写	上	S:二十一马	第十部
军	平	P:十二文	第六部
农	平	P:二冬	第一部
冠	平去	P:十四寒,Q:十五翰	第七部
冢	平上	P:一东,S:二肿	第一部
冤	平	P:十三元	第七部
冥	平上	P:九青,S:二十四迥	第十一部
冬	平	P:二冬	第一部
冯	平	P:一东,P:十蒸	第一部,第十一部
冰	平	P:十蒸	第十一部
冱	去	Q:七遇	第四部
冲	平	P:一东,P:二冬	第一部
决	入	R:九屑	第十八部
况	去	Q:二十三漾	第二部
冶	上	S:二十一马	第十部
冷	上	S:二十三梗	第十一部
冻	去	Q:一送	第一部
冼	上	S:二十四迥	
冽	入	R:九屑	第十八部
净	去	Q:二十四敬	第十一部
凄	平	P:八齐	第三部
准	上入	S:十一轸,R:九屑	第六部
凉	平	P:七阳	第二部
凊	去	Q:二十四敬	
凋	平	P:二萧	第八部
凌	平去	P:十蒸,Q:二十五径	第十一部
减	上	S:二十九豏	第十四部
凑	去	Q:二十六宥	第十二部
凔	平	P:七阳	
凘	平	P:四支	
凛	上	S:二十六寝	第十三部
凝	平去	P:十蒸,Q:二十五径	第十一部
几	平上去	P:五微,S:四纸,S:五尾,Q:四寘	第三部
凡	平	P:十五咸	第十四部
凤	去	Q:一送	第一部
凫	平	P:七虞	第四部
凭	平	P:十蒸	第十一部
凯	上	S:十贿	第五部
凰	平	P:七阳	第二部
凳	去	Q:二十五径	第十一部
凶	平	P:二冬	第一部
凸	入	R:六月,R:九屑	第十八部
凹	平	P:三肴	第八部
出	去入	Q:四寘,R:四质	第十七部
击	入	R:十二锡	第十七部
函	平	P:十三覃,P:十五咸	第十四部
凿	去入	Q:二十号,R:十药	第十六部
刀	平	P:四豪	第八部
刁	平	P:二萧	第八部
刃	去	Q:十二震	第六部
分	平去	P:十二文,Q:十三问	第六部
切	去入	Q:八霁,R:九屑	第十八部
刈	去	Q:十一队	第三部
刊	平	P:十四寒	第七部
刌	上	S:十三阮	
刍	平	P:七虞	
刎	上	S:十二吻	第六部
刏	平	P:五微	
刑	平	P:九青	
划	平入	P:六麻,R:十一陌	第十部,第十七部
刓	平	P:十四寒	
刖	入	R:六月,R:八黠	
列	入	R:九屑	第十八部
刘	平	P:十一尤	第十二部
则	入	R:十三职	第十七部
刚	平	P:七阳	第二部
创	平去	P:七阳,Q:二十三漾	第二部
刜	入	R:五物	
初	平	P:六鱼	第四部
删	平	P:十五删	第七部
判	去	Q:十五翰	第七部
刨	平去	P:三肴,Q:十九效	第八部
利	去	Q:四寘	第三部
别	入	R:九屑	第十八部
刭	上去	S:二十四迥,Q:二十五径	第十一部
刮	入	R:八黠	第十八部
到	去	Q:二十号	第八部
刱	去	Q:二十三漾	
刲	平	P:八齐	
刳	平	P:七虞	第四部
刵	去	Q:四寘	
制	去	Q:八霁	第三部
刷	入	R:八黠,R:九屑	第十八部
券	去	Q:十四愿	第七部
刹	入	R:八黠	第十八部
刺	去	Q:四寘	第三部,第十七部,第十八部
刻	入	R:十三职	第十七部
刿	去	Q:八霁	
剁	去	Q:二十一个	第九部
剂	平去	P:四支,Q:八霁	第三部
剃	去	Q:八霁	第三部
削	入	R:十药	第十六部
